i,smspec
297,10889087.000000
298,10760160.000000
299,10924828.000000
300,11175476.000000
301,11278499.000000
302,11446535.000000
303,11462973.000000
304,11802078.000000
305,12082440.000000
306,11822978.000000
307,11950749.000000
308,12303680.000000
309,12362204.000000
310,12271678.000000
311,11967672.000000
312,11799534.000000
313,11643850.000000
314,11277499.000000
315,11449478.000000
316,11549504.000000
317,11399880.000000
318,11113855.000000
319,10709606.000000
320,10381797.000000
321,10186628.000000
322,9447198.000000
323,9163049.000000
324,9302592.000000
325,9772570.000000
326,10387570.000000
327,10925986.000000
328,11200076.000000
329,11358660.000000
330,11606900.000000
331,11333609.000000
332,10627933.000000
333,10113656.000000
334,10218466.000000
335,10293694.000000
336,10482848.000000
337,10464832.000000
338,11030402.000000
339,11521482.000000
340,11385012.000000
341,11155244.000000
342,11039074.000000
343,10797704.000000
344,10644596.000000
345,10306662.000000
346,10183542.000000
347,10367266.000000
348,10575918.000000
349,10693733.000000
350,10866602.000000
351,10947572.000000
352,10849574.000000
353,10990857.000000
354,11178054.000000
355,10947345.000000
356,10766884.000000
357,10706180.000000
358,10554651.000000
359,10924744.000000
360,10720661.000000
361,10707143.000000
362,10646883.000000
363,10630243.000000
364,10741070.000000
365,11075888.000000
366,11057722.000000
367,11053130.000000
368,10830822.000000
369,11036228.000000
370,11222724.000000
371,11253824.000000
372,11352228.000000
373,11248015.000000
374,11451044.000000
375,11632885.000000
376,11480424.000000
377,11627964.000000
378,11652599.000000
379,11406158.000000
380,11367196.000000
381,11397212.000000
382,11308188.000000
383,11421778.000000
384,11199114.000000
385,11200576.000000
386,11031610.000000
387,10868666.000000
388,10606944.000000
389,10722543.000000
390,10827126.000000
391,10794474.000000
392,10501582.000000
393,10706501.000000
394,10971768.000000
395,11073806.000000
396,11068573.000000
397,10773792.000000
398,10805102.000000
399,11041451.000000
400,10673317.000000
401,10436620.000000
402,10831036.000000
403,11058616.000000
404,11197795.000000
405,11179673.000000
406,11066310.000000
407,11156946.000000
408,10999382.000000
409,10546606.000000
410,10134932.000000
