i,psavg
0,1587473.250000
1,1581988.125000
2,1717665.875000
3,1651416.125000
4,1711696.375000
5,1708408.750000
6,1958198.500000
7,1819138.625000
8,1588113.375000
9,1716218.000000
10,1782300.375000
11,1612857.500000
12,1649102.500000
13,1617770.250000
14,1416565.125000
15,1421156.250000
16,1510452.375000
17,1824470.000000
18,1910957.750000
19,1677668.375000
20,1703343.375000
21,1702356.500000
22,1822610.625000
23,2005975.250000
24,1827446.125000
25,1951149.500000
26,2047399.000000
27,1777449.875000
28,1725356.125000
29,1906504.375000
30,1607609.000000
31,1580534.000000
32,1590925.000000
33,1700822.250000
34,1856353.250000
35,1697822.500000
36,1754768.500000
37,2179346.250000
38,2009846.500000
39,1734017.125000
40,1760722.625000
41,1416954.875000
42,1436679.250000
43,1686010.000000
44,1861126.625000
45,1459292.125000
46,1489944.125000
47,1485950.500000
48,1688687.500000
49,1638065.750000
50,1695163.875000
51,1727771.375000
52,1540764.000000
53,1709847.125000
54,1550094.500000
55,1448610.875000
56,1559705.000000
57,1553807.875000
58,1600611.750000
59,1621715.625000
60,1662985.250000
61,1585581.750000
62,1589733.000000
63,1680263.625000
64,1656836.625000
65,1412182.000000
66,1978073.125000
67,2209293.000000
68,1544192.000000
69,1713742.750000
70,1785299.875000
71,1878266.625000
72,1792926.250000
73,1531314.750000
74,1639530.000000
75,1823320.125000
76,1711851.375000
77,1655552.250000
78,1950926.500000
79,2354942.250000
80,1998910.750000
81,1661573.500000
82,1619722.125000
83,1979578.875000
84,1631326.375000
85,1501259.875000
86,1354859.500000
87,1494336.750000
88,1761083.875000
89,1959662.000000
90,2026524.125000
91,1665886.500000
92,1739406.375000
93,2020145.125000
94,1611747.000000
95,1584342.250000
96,1604235.125000
97,1731199.500000
98,1530133.875000
99,1647605.375000
100,1882496.625000
101,1582477.500000
102,1501975.875000
103,1423698.125000
104,1595428.750000
105,1576752.250000
106,1486208.875000
107,1473440.875000
108,1588072.625000
109,1632605.750000
110,1602801.250000
