i,psavg
111,1631588.125000
112,1881685.750000
113,1655867.000000
114,1342365.125000
115,1534843.500000
116,1778435.750000
117,1903632.750000
118,2274124.000000
119,1981887.500000
120,1775382.625000
121,1855577.250000
122,1924030.750000
123,1888194.750000
124,1875256.750000
125,1743163.625000
126,1865002.375000
127,2162979.000000
128,2085793.750000
129,1799792.250000
130,1556055.750000
131,1656013.625000
132,1360090.500000
133,1751696.250000
134,1599200.500000
135,1664652.875000
136,1722812.875000
137,1656106.250000
138,1587875.125000
139,1824135.250000
140,2008391.375000
141,1792366.750000
142,1679009.875000
143,1581038.250000
144,1494706.125000
145,1900068.125000
146,1845045.625000
147,1761843.500000
148,1584425.000000
149,1662674.375000
150,1883473.250000
151,1881522.000000
152,2114311.750000
153,1609566.250000
154,1782253.000000
155,1746815.500000
156,1386788.125000
157,1494824.125000
158,1728654.000000
159,1852164.125000
160,1783003.375000
161,1727383.625000
162,1638520.875000
163,1535577.625000
164,1440876.625000
165,1475912.875000
166,1759136.125000
167,1871010.125000
168,1392375.250000
169,1379200.250000
170,1454324.125000
171,1423417.625000
172,1678753.750000
173,1709570.250000
174,1857174.750000
175,1883401.875000
176,1689690.625000
177,2177723.500000
178,7424444.500000
179,51289580.000000
180,94634544.000000
181,80540152.000000
182,101220064.000000
183,127693616.000000
184,153294384.000000
185,78120656.000000
186,57073480.000000
187,12858268.000000
188,3201356.750000
189,2222262.000000
190,2173824.250000
191,2474332.000000
192,2488375.000000
193,2706619.750000
194,2232505.250000
195,1958498.500000
196,2337677.250000
197,2755494.750000
198,9383484.000000
199,28784394.000000
200,21732590.000000
201,17035200.000000
202,22177596.000000
203,30860192.000000
204,27812116.000000
205,22239066.000000
206,8737705.000000
207,4016611.750000
208,3939436.750000
209,4458854.000000
210,4390798.500000
211,3626300.250000
212,3345844.500000
213,2103382.750000
214,1904391.375000
215,1826660.750000
216,1495871.750000
217,1847175.875000
218,2029290.750000
219,1709181.375000
220,1820278.500000
221,1710214.750000
222,1664891.250000
223,1605292.875000
224,1524216.750000
225,1638944.625000
226,1793516.125000
227,1768384.875000
228,1974126.500000
229,2057829.125000
230,1912493.750000
231,1942728.750000
232,1838429.125000
233,2277682.750000
234,2500026.250000
235,3921257.750000
236,6600820.500000
237,60333964.000000
238,247939264.000000
239,174308224.000000
240,131958192.000000
241,163231840.000000
242,219131008.000000
243,151219984.000000
244,175603904.000000
245,63177464.000000
246,8419575.000000
247,3197326.750000
248,2540339.750000
249,2382372.000000
250,2686886.500000
251,11554288.000000
252,14359962.000000
253,11308921.000000
254,12784241.000000
255,17838234.000000
256,82431608.000000
257,817855552.000000
258,660374656.000000
259,435033248.000000
260,700731328.000000
261,656936896.000000
262,383412352.000000
263,181866384.000000
264,19364958.000000
265,4823243.000000
266,3438849.500000
267,2506930.000000
268,2291666.500000
269,1997421.375000
270,2087147.500000
271,1699141.875000
272,2002379.875000
273,1738595.000000
274,1798293.625000
275,1756127.125000
276,3881795.500000
277,8179972.500000
278,5451545.500000
279,6656165.000000
280,9655757.000000
281,11217592.000000
282,6664035.500000
283,5244571.000000
284,3347279.000000
285,2654015.500000
286,1590578.500000
287,1824583.375000
288,2163520.250000
289,2129673.000000
290,1861299.875000
291,2164406.500000
292,2687873.250000
293,6595193.500000
294,13266747.000000
295,9719443.000000
296,10687675.000000
297,16143059.000000
298,16024564.000000
299,9764503.000000
300,7138593.500000
301,3165061.000000
302,1748075.750000
303,1900052.500000
304,2010529.375000
305,1639865.750000
306,1724052.500000
307,1741907.500000
308,1617648.000000
309,1599370.625000
310,1564743.750000
311,1899564.500000
312,2001506.750000
313,1661322.375000
314,1734692.500000
315,1768415.875000
316,1654687.750000
317,1425242.625000
318,1582552.000000
319,1668689.625000
320,1689531.125000
321,1560621.125000
322,1508637.875000
323,1614479.375000
324,1628965.500000
325,1552349.625000
326,1388935.375000
327,1421831.250000
328,1402868.250000
329,1932441.000000
330,1667613.125000
331,1407619.250000
332,1665794.375000
333,1570727.500000
334,1719152.750000
335,1786662.000000
336,1375542.500000
337,1338475.250000
338,1445279.500000
339,1371076.125000
340,1289386.250000
341,1537519.625000
342,1681865.500000
343,1598137.500000
344,1650929.375000
345,1758936.375000
346,1722045.750000
347,1455176.875000
348,1437631.375000
349,1392864.750000
350,1595799.125000
351,1542232.250000
352,1621884.125000
353,1879578.750000
354,1697776.500000
355,1546926.750000
356,1562295.250000
357,1592087.500000
358,1879674.250000
359,1903956.125000
360,1610352.750000
361,1813256.250000
362,1879734.000000
363,1632173.375000
364,1516260.000000
365,1603830.625000
366,1695452.000000
367,1570784.500000
368,1630698.250000
369,2541065.500000
370,6217798.000000
371,54405576.000000
372,75903520.000000
373,48688340.000000
374,52408212.000000
375,77755880.000000
376,73780432.000000
377,44485532.000000
378,28703500.000000
379,5575606.500000
380,2517125.250000
381,3016696.000000
382,4191361.750000
383,3614533.500000
384,3567555.000000
385,3548980.750000
386,3816321.250000
387,3628918.500000
388,3204369.750000
389,2209508.250000
390,1790955.375000
391,1671039.500000
392,1790129.000000
393,1538703.000000
394,1301643.250000
395,1560230.625000
396,1501253.375000
397,1442013.250000
398,1507945.875000
399,1451785.375000
400,1412755.625000
401,1480976.000000
402,1763049.000000
403,1621056.500000
404,1613243.250000
405,1582770.625000
406,1351818.875000
407,1558308.375000
408,1667032.625000
409,1536312.375000
410,1436846.000000
411,1546808.750000
412,1441712.125000
413,1726948.625000
414,1361735.875000
415,1651568.250000
416,1470988.375000
417,1422066.500000
418,1664272.000000
419,1775778.375000
420,1705908.250000
421,1355695.125000
422,1434682.875000
423,1676320.750000
424,1610096.375000
425,1695608.875000
426,1867486.250000
427,1600088.750000
428,1560199.000000
429,1620074.250000
430,1523618.125000
431,1750582.875000
432,1717015.750000
433,1626717.250000
434,1565580.375000
435,1586565.500000
436,1526055.375000
437,1636541.875000
438,1536344.500000
439,1723038.625000
440,1453868.625000
441,1398573.125000
442,1324900.250000
443,1645826.375000
444,1745607.750000
445,1503889.250000
446,1426239.750000
447,1659003.125000
448,1667049.625000
449,1430834.375000
450,1637668.875000
451,1448130.375000
452,1532410.125000
453,1668151.625000
454,1291702.500000
455,1428976.750000
456,1825813.500000
457,1867802.750000
458,1590792.250000
459,1518239.250000
460,1551761.625000
461,1380790.000000
462,1270792.875000
463,1367456.125000
464,1456047.875000
465,1506132.500000
466,1540603.250000
467,1906231.375000
468,2544495.750000
469,24240080.000000
470,8077963.500000
471,1855749.125000
472,1602846.750000
473,1796287.625000
474,1558281.750000
475,1740814.875000
476,1845859.000000
477,1852990.375000
478,1906879.375000
479,1768478.625000
480,1622478.250000
481,1487864.625000
482,2343734.000000
483,1650943.375000
484,1565707.500000
485,1593793.375000
486,1611254.125000
487,1612606.625000
488,1624506.000000
489,1811431.375000
490,1395526.125000
491,1230352.750000
492,1403458.375000
493,1548543.875000
494,1355432.250000
495,1485783.125000
496,1556812.750000
497,1750553.750000
498,1706806.500000
499,1587255.500000
500,1662627.375000
501,1637217.000000
502,1415970.625000
503,1468370.500000
504,1494356.625000
505,1982502.750000
506,2107538.250000
507,1644539.500000
508,1659120.500000
509,1622972.500000
510,1833343.125000
511,1882403.875000
