i,smspec
0,11550394.000000
1,11310318.000000
2,11231957.000000
3,11090601.000000
4,10963442.000000
5,11044392.000000
6,10997532.000000
7,11033019.000000
8,11174140.000000
9,11294699.000000
10,11397728.000000
11,11209298.000000
12,11565655.000000
13,12111963.000000
14,12070573.000000
15,12194583.000000
16,12299619.000000
17,12521049.000000
18,12901794.000000
19,12455036.000000
20,11885272.000000
21,12164400.000000
22,12162509.000000
23,12032762.000000
24,12105421.000000
25,12667438.000000
26,13135034.000000
27,13157077.000000
28,12953479.000000
29,13221206.000000
30,13196981.000000
31,12747314.000000
32,11747232.000000
33,11242657.000000
34,11342168.000000
35,11682107.000000
36,11729053.000000
37,11763612.000000
38,12001759.000000
39,12667044.000000
40,12784455.000000
41,12607713.000000
42,12252286.000000
43,11956962.000000
44,11821210.000000
45,11729408.000000
46,11591760.000000
47,11562490.000000
48,11480124.000000
49,11299587.000000
50,11163816.000000
51,11210434.000000
52,11049038.000000
53,10639982.000000
54,10645578.000000
55,10776207.000000
56,10955311.000000
57,10991470.000000
58,11296404.000000
59,11466061.000000
60,11334986.000000
61,11281756.000000
62,11427586.000000
63,11728418.000000
64,12370954.000000
65,12471156.000000
66,12590671.000000
67,13103883.000000
68,13493071.000000
69,13602830.000000
70,13574453.000000
71,13043493.000000
72,12926609.000000
73,13314205.000000
74,13544420.000000
75,13420182.000000
76,13088044.000000
77,12868800.000000
78,12485727.000000
79,12372421.000000
80,11808642.000000
81,11387502.000000
82,11310523.000000
83,11410572.000000
84,11342434.000000
85,11806480.000000
86,12063174.000000
87,12256340.000000
88,12270697.000000
89,12128924.000000
90,11967523.000000
91,12279716.000000
92,12300626.000000
93,12054078.000000
94,11846136.000000
95,11829801.000000
96,12132236.000000
97,12519052.000000
98,12733296.000000
99,12497816.000000
100,12518226.000000
101,12680616.000000
102,12404730.000000
103,12016080.000000
104,11863212.000000
105,11601065.000000
106,11774502.000000
107,11719632.000000
108,11611338.000000
109,11760128.000000
110,11706180.000000
111,11453439.000000
112,11360411.000000
113,11448418.000000
114,11113410.000000
115,10854089.000000
116,10772835.000000
117,10755376.000000
118,10958218.000000
119,10908652.000000
120,10894816.000000
121,11385843.000000
122,11696332.000000
123,12419733.000000
124,18420760.000000
125,68031584.000000
126,160956576.000000
127,239639552.000000
128,338976192.000000
129,464980128.000000
130,616096768.000000
131,686793024.000000
132,692576896.000000
133,610800640.000000
134,533461824.000000
135,434464032.000000
136,308944224.000000
137,158124192.000000
138,82491896.000000
139,28125040.000000
140,17499276.000000
141,16256416.000000
142,16371832.000000
143,16953504.000000
144,23862654.000000
145,50158672.000000
146,69184648.000000
147,83987336.000000
148,104206440.000000
149,132728960.000000
150,157785568.000000
151,170641152.000000
152,150594464.000000
153,132878496.000000
154,119782720.000000
155,102063984.000000
156,75594592.000000
157,51408772.000000
158,32515552.000000
159,25881228.000000
160,23769008.000000
161,21656232.000000
162,18693252.000000
163,16149628.000000
164,14552618.000000
165,12915955.000000
166,12632850.000000
167,12438674.000000
168,12276904.000000
169,12386326.000000
170,12063366.000000
171,11673020.000000
172,11757355.000000
173,11705461.000000
174,11969373.000000
175,12362310.000000
176,12669512.000000
177,13088024.000000
178,13287508.000000
179,13771676.000000
180,14503316.000000
181,16450448.000000
182,20993438.000000
183,79414904.000000
184,325411424.000000
185,497881248.000000
186,627561728.000000
187,788293632.000000
188,1003503296.000000
189,1148122496.000000
190,1263392384.000000
191,1078630656.000000
192,912741952.000000
193,783981120.000000
194,623289600.000000
195,406540960.000000
196,258007872.000000
197,93958256.000000
198,45140752.000000
199,48030100.000000
200,57617012.000000
201,72914904.000000
202,152964128.000000
203,968132800.000000
204,1616953088.000000
205,2037626496.000000
