i,smspec
206,2727048704.000000
207,3371201280.000000
208,3736775680.000000
209,3836210688.000000
210,3037719808.000000
211,2382168320.000000
212,1950574080.000000
213,1252349696.000000
214,597704320.000000
215,216289456.000000
216,36510216.000000
217,18844400.000000
218,16023537.000000
219,14323282.000000
220,13614646.000000
221,13079106.000000
222,14963480.000000
223,21056306.000000
224,24808710.000000
225,29462496.000000
226,37379656.000000
227,46798956.000000
228,51706864.000000
229,53069640.000000
230,48236944.000000
231,45439416.000000
232,40373828.000000
233,32542656.000000
234,23488582.000000
235,18954220.000000
236,15570950.000000
237,14388078.000000
238,14421935.000000
239,19426550.000000
240,30868712.000000
241,38424636.000000
242,46982636.000000
243,61264400.000000
244,75124552.000000
245,82201184.000000
246,82744584.000000
247,72642896.000000
248,64671528.000000
249,55883912.000000
250,41751380.000000
251,27366680.000000
252,19326230.000000
253,13929545.000000
254,12382132.000000
255,12233426.000000
256,11898117.000000
257,11787153.000000
258,12148794.000000
259,12086063.000000
260,12078848.000000
261,12229617.000000
262,12284934.000000
263,12145432.000000
264,11828420.000000
265,11495603.000000
266,11523811.000000
267,11349740.000000
268,11089962.000000
269,11049754.000000
270,11253476.000000
271,11223274.000000
272,10943520.000000
273,10675820.000000
274,10518068.000000
275,10941870.000000
276,10995004.000000
277,10773657.000000
278,10887103.000000
279,11068894.000000
280,11366216.000000
281,11750010.000000
282,11193112.000000
283,10863974.000000
284,10901634.000000
285,10606916.000000
286,10325574.000000
287,10143942.000000
288,10039145.000000
289,10261740.000000
290,10574194.000000
291,10887851.000000
292,11238820.000000
293,11404611.000000
294,11304723.000000
295,11015722.000000
296,11013384.000000
297,10904686.000000
298,10767634.000000
299,10925167.000000
300,11167767.000000
301,11277062.000000
302,11446492.000000
303,11442781.000000
304,11780224.000000
305,12062295.000000
306,11793069.000000
307,11908548.000000
308,12241356.000000
309,12311234.000000
310,12235407.000000
311,11959563.000000
312,11751059.000000
313,11711490.000000
314,11528933.000000
315,12190264.000000
316,16775888.000000
317,69665208.000000
318,143964896.000000
319,190957776.000000
320,241795200.000000
321,317920384.000000
322,389159744.000000
323,427427520.000000
324,401725408.000000
325,331397504.000000
326,285226304.000000
327,235834784.000000
328,162270256.000000
329,92104360.000000
330,51186376.000000
331,26031860.000000
332,24272572.000000
333,25384368.000000
334,25572040.000000
335,23590186.000000
336,21766608.000000
337,19870092.000000
338,18111242.000000
339,15833623.000000
340,13506348.000000
341,11862209.000000
342,11153954.000000
343,10805012.000000
344,10641918.000000
345,10303575.000000
346,10177628.000000
347,10356960.000000
348,10559778.000000
349,10679582.000000
350,10850812.000000
351,10925636.000000
352,10825670.000000
353,10971222.000000
354,11157280.000000
355,10930543.000000
356,10746332.000000
357,10679898.000000
358,10538840.000000
359,10913969.000000
360,10717396.000000
361,10701932.000000
362,10636608.000000
363,10621828.000000
364,10739292.000000
365,11073358.000000
366,11052318.000000
367,11046276.000000
368,10829392.000000
369,11034724.000000
370,11222754.000000
371,11254090.000000
372,11345798.000000
373,11239980.000000
374,11444483.000000
375,11629874.000000
376,11477172.000000
377,11617658.000000
378,11639065.000000
379,11398296.000000
380,11363788.000000
381,11390154.000000
382,11296136.000000
383,11409060.000000
384,11194821.000000
385,11200844.000000
386,11027995.000000
387,10860988.000000
388,10599322.000000
389,10719094.000000
390,10828158.000000
391,10795704.000000
392,10498906.000000
393,10704040.000000
394,10972516.000000
395,11078450.000000
396,11070293.000000
397,10772815.000000
398,10801336.000000
399,11043248.000000
400,10675948.000000
401,10437874.000000
402,10832854.000000
403,11062988.000000
404,11205649.000000
405,11191478.000000
406,11075089.000000
407,11164176.000000
408,11005992.000000
409,10547635.000000
410,10135880.000000
