i,idat,w,idat * w
0,1.375257,0.000000,0.000000
1,-0.596915,0.006148,-0.003670
2,-2.853430,0.012296,-0.035084
3,-1.531049,0.018443,-0.028237
4,-2.363666,0.024589,-0.058121
5,0.930170,0.030735,0.028589
6,1.157181,0.036879,0.042676
7,1.084335,0.043022,0.046651
8,-1.366469,0.049164,-0.067181
9,0.157683,0.055303,0.008720
10,-1.961240,0.061441,-0.120500
11,-0.198131,0.067576,-0.013389
12,-5.000763,0.073708,-0.368598
13,-1.463835,0.079838,-0.116870
14,-0.197783,0.085965,-0.017002
15,2.382287,0.092088,0.219381
16,2.486804,0.098208,0.244225
17,5.976703,0.104325,0.623517
18,3.299208,0.110437,0.364355
19,-4.002210,0.116545,-0.466439
20,2.192442,0.122649,0.268901
21,-9.446078,0.128748,-1.216165
22,-3.780509,0.134842,-0.509773
23,-0.806515,0.140932,-0.113663
24,5.713631,0.147016,0.839993
25,5.833283,0.153094,0.893040
26,6.094848,0.159166,0.970095
27,4.514073,0.165233,0.745873
28,2.260640,0.171293,0.387232
29,-2.214038,0.177347,-0.392653
30,-4.183371,0.183394,-0.767205
31,-7.052070,0.189434,-1.335903
32,-7.734373,0.195467,-1.511816
33,3.539000,0.201493,0.713083
34,-0.992353,0.207511,-0.205924
35,6.012582,0.213521,1.283812
36,1.721571,0.219523,0.377924
37,6.476137,0.225517,1.460477
38,-0.866868,0.231502,-0.200682
39,-3.521875,0.237479,-0.836370
40,-5.475710,0.243446,-1.333040
41,-4.017071,0.249404,-1.001875
42,-5.093753,0.255353,-1.300707
43,-2.481880,0.261293,-0.648497
44,7.334821,0.267222,1.960025
45,2.315057,0.273141,0.632337
46,3.943120,0.279050,1.100328
47,0.243482,0.284949,0.069380
48,-6.881089,0.290836,-2.001270
49,1.529354,0.296713,0.453779
50,1.725209,0.302578,0.522011
51,-1.615521,0.308432,-0.498279
52,4.118747,0.314275,1.294418
53,1.177757,0.320105,0.377006
54,3.942912,0.325923,1.285087
55,-0.410235,0.331729,-0.136087
56,1.952704,0.337523,0.659082
57,-6.255211,0.343304,-2.147437
58,-3.562902,0.349071,-1.243707
59,-3.932331,0.354826,-1.395293
60,1.269466,0.360567,0.457728
61,3.850727,0.366295,1.410501
62,2.379063,0.372008,0.885031
63,4.511908,0.377708,1.704184
64,0.481051,0.383393,0.184432
65,0.092379,0.389064,0.035941
66,1.002818,0.394720,0.395832
67,-0.556748,0.400362,-0.222900
68,1.618105,0.405988,0.656931
69,2.017267,0.411598,0.830304
