i,idat,w,idat * w
70,-0.064808,0.417194,-0.027038
71,-0.921752,0.422773,-0.389692
72,0.168711,0.428337,0.072265
73,2.831720,0.433884,1.228637
74,3.454807,0.439415,1.518093
75,-2.659487,0.444929,-1.183282
76,-4.293256,0.450426,-1.933795
77,0.019526,0.455907,0.008902
78,4.502211,0.461370,2.077184
79,1.343578,0.466816,0.627203
80,-3.538443,0.472244,-1.671008
81,3.082738,0.477654,1.472482
82,-1.715750,0.483046,-0.828786
83,0.593736,0.488420,0.289993
84,-5.962961,0.493776,-2.944364
85,-1.668029,0.499112,-0.832534
86,-2.478780,0.504430,-1.250372
87,-2.103577,0.509729,-1.072255
88,1.787342,0.515009,0.920497
89,5.268790,0.520269,2.741188
90,2.801660,0.525509,1.472299
91,-0.673064,0.530730,-0.357215
92,-0.828878,0.535931,-0.444221
93,0.402733,0.541111,0.217923
94,-2.152563,0.546271,-1.175882
95,1.635168,0.551410,0.901648
96,0.151450,0.556528,0.084286
97,0.358401,0.561626,0.201287
98,2.820776,0.566702,1.598539
99,5.225857,0.571756,2.987917
100,2.868199,0.576789,1.654347
101,5.715174,0.581801,3.325093
102,0.338382,0.586790,0.198559
103,-5.385833,0.591757,-3.187105
104,-2.722820,0.596702,-1.624712
105,-10.300160,0.601624,-6.196825
106,-3.460177,0.606524,-2.098679
107,-0.688085,0.611400,-0.420695
108,1.238551,0.616253,0.763261
109,11.300966,0.621084,7.018844
110,1.250739,0.625890,0.782826
111,6.007102,0.630673,3.788518
112,-1.698469,0.635432,-1.079262
113,-7.805635,0.640167,-4.996913
114,-0.432868,0.644878,-0.279147
115,0.940228,0.649565,0.610739
116,4.085166,0.654227,2.672626
117,3.736162,0.658864,2.461624
118,-4.809916,0.663477,-3.191266
119,3.281380,0.668064,2.192172
120,-6.746641,0.672626,-4.537965
121,0.810390,0.677163,0.548766
122,0.355632,0.681674,0.242425
123,-4.652996,0.686159,-3.192694
124,-1.182460,0.690618,-0.816628
125,1.528341,0.695051,1.062276
126,4.268898,0.699458,2.985917
127,3.450778,0.703839,2.428792
128,-3.947994,0.708193,-2.795941
129,-3.369126,0.712520,-2.400569
130,0.017272,0.716820,0.012381
131,1.104354,0.721093,0.796342
132,-2.198225,0.725339,-1.594459
133,-3.500069,0.729558,-2.553502
134,3.416268,0.733748,2.506681
135,1.702670,0.737912,1.256420
136,1.847162,0.742047,1.370681
137,-0.295669,0.746154,-0.220615
138,-2.582109,0.750233,-1.937183
139,-0.692104,0.754284,-0.522043
140,-3.612170,0.758306,-2.739130
141,2.796892,0.762299,2.132069
142,0.294546,0.766264,0.225700
143,2.929234,0.770200,2.256095
144,1.551382,0.774106,1.200935
145,4.045766,0.777984,3.147540
146,1.531349,0.781832,1.197257
147,-1.181915,0.785650,-0.928571
148,0.942647,0.789439,0.744162
149,-3.109439,0.793197,-2.466399
150,0.844280,0.796926,0.672829
151,3.818563,0.800625,3.057237
152,3.639832,0.804293,2.927493
153,0.834694,0.807932,0.674376
154,1.861707,0.811539,1.510848
155,5.735766,0.815116,4.675314
156,1.006107,0.818662,0.823662
157,-3.634223,0.822177,-2.987975
158,-4.158525,0.825661,-3.433532
159,-4.261304,0.829114,-3.533107
160,-8.688026,0.832535,-7.233090
161,-3.921803,0.835926,-3.278335
162,2.471554,0.839284,2.074335
163,0.295559,0.842611,0.249042
164,6.263614,0.845905,5.298425
165,1.033824,0.849168,0.877891
166,-0.613631,0.852399,-0.523059
167,-3.507994,0.855598,-3.001432
168,-7.045977,0.858764,-6.050831
169,0.602507,0.861898,0.519300
170,-0.207494,0.864999,-0.179482
171,1.991979,0.868067,1.729173
172,0.769589,0.871103,0.670392
173,1.121269,0.874106,0.980107
174,-1.410891,0.877076,-1.237458
175,-0.100409,0.880012,-0.088361
176,-5.712600,0.882916,-5.043744
177,-3.946100,0.885785,-3.495398
178,-5.957220,0.888622,-5.293716
179,4.442866,0.891425,3.960481
180,-2.887019,0.894194,-2.581555
181,7.784748,0.896929,6.982369
182,0.442974,0.899631,0.398513
183,8.750986,0.902298,7.896001
184,1.125108,0.904932,1.018146
185,-2.057003,0.907531,-1.866794
186,-4.147316,0.910096,-3.774454
187,-7.775648,0.912626,-7.096260
188,-2.211857,0.915122,-2.024119
189,-3.435646,0.917584,-3.152492
190,5.439073,0.920010,5.004004
191,5.761722,0.922402,5.314625
192,7.834012,0.924759,7.244576
193,-4.083086,0.927081,-3.785354
194,5.630939,0.929369,5.233218
195,-1.602904,0.931620,-1.493298
196,-4.104874,0.933837,-3.833284
197,-5.745757,0.936019,-5.378136
198,-0.352738,0.938165,-0.330926
199,-7.272074,0.940275,-6.837752
200,2.206239,0.942350,2.079051
201,6.495366,0.944390,6.134158
202,-0.212757,0.946394,-0.201352
203,2.429485,0.948362,2.304030
204,0.038092,0.950294,0.036199
205,-1.358879,0.952190,-1.293911
206,-4.796575,0.954050,-4.576173
207,-1.191677,0.955874,-1.139094
208,-2.843591,0.957662,-2.723200
209,-1.655280,0.959414,-1.588099
210,1.983190,0.961130,1.906103
211,-5.367246,0.962809,-5.167633
212,3.285675,0.964452,3.168875
213,0.583792,0.966058,0.563977
214,4.835717,0.967628,4.679176
215,-1.748007,0.969162,-1.694101
216,-2.509224,0.970658,-2.435599
217,-5.029363,0.972118,-4.889135
218,-6.818557,0.973541,-6.638148
219,0.313201,0.974928,0.305348
220,2.855019,0.976278,2.787291
221,3.371376,0.977590,3.295825
222,5.419798,0.978866,5.305256
223,1.639445,0.980105,1.606827
224,-1.418225,0.981306,-1.391714
225,0.608307,0.982471,0.597644
226,1.284583,0.983599,1.263514
227,2.949480,0.984689,2.904321
228,-2.216357,0.985742,-2.184756
229,-2.479203,0.986758,-2.446373
230,0.587521,0.987736,0.580316
231,1.442205,0.988678,1.425876
232,1.460326,0.989581,1.445111
233,-0.302417,0.990448,-0.299528
234,1.051492,0.991277,1.042319
235,-1.035939,0.992068,-1.027723
236,1.112301,0.992822,1.104317
237,-0.353061,0.993539,-0.350780
238,-2.028298,0.994218,-2.016570
239,-1.461986,0.994859,-1.454470
240,1.651710,0.995463,1.644217
241,-0.475854,0.996029,-0.473964
242,-1.620139,0.996558,-1.614562
243,-3.580296,0.997049,-3.569729
244,-0.434080,0.997502,-0.432995
245,0.408350,0.997917,0.407499
246,-3.830316,0.998295,-3.823785
247,-0.960604,0.998635,-0.959292
248,1.614851,0.998937,1.613135
249,-2.841220,0.999202,-2.838952
250,-6.695110,0.999428,-6.691283
251,0.162379,0.999617,0.162317
252,0.905850,0.999768,0.905640
253,5.046705,0.999882,5.046109
254,1.132542,0.999958,1.132494
255,-0.350834,0.999995,-0.350832
256,-2.711959,0.999995,-2.711946
257,-2.086824,0.999958,-2.086736
258,-6.810437,0.999882,-6.809632
259,-4.424952,0.999768,-4.423927
260,6.600387,0.999617,6.597861
261,-2.132191,0.999428,-2.130972
262,5.335649,0.999202,5.331390
263,-2.268062,0.998937,-2.265651
264,-0.326928,0.998635,-0.326481
265,1.588330,0.998295,1.585622
266,-2.563637,0.997917,-2.558297
267,-1.112095,0.997502,-1.109317
268,-1.996549,0.997049,-1.990656
269,-5.802200,0.996558,-5.782228
270,0.694245,0.996029,0.691488
271,0.838107,0.995463,0.834305
272,4.696798,0.994859,4.672653
273,-0.179853,0.994218,-0.178813
274,-0.106218,0.993539,-0.105532
275,7.672737,0.992822,7.617665
276,0.698970,0.992068,0.693426
277,-1.149233,0.991277,-1.139208
278,-6.958046,0.990448,-6.891582
279,-1.727689,0.989581,-1.709689
280,-3.163548,0.988678,-3.127729
281,-0.854167,0.987736,-0.843692
282,1.670257,0.986758,1.648139
283,7.333913,0.985742,7.229346
284,2.481838,0.984689,2.443838
285,-0.441543,0.983599,-0.434301
286,-0.313980,0.982471,-0.308477
287,0.072873,0.981306,0.071511
288,-1.806467,0.980105,-1.770527
289,-5.972951,0.978866,-5.846718
290,1.711838,0.977590,1.673476
291,0.188337,0.976278,0.183869
292,3.169415,0.974928,3.089952
293,2.878947,0.973541,2.802774
294,2.113121,0.972118,2.054204
295,-2.927263,0.970658,-2.841372
296,-0.841289,0.969162,-0.815345
297,-4.881111,0.967628,-4.723100
298,-5.434606,0.966058,-5.250146
299,-2.033797,0.964452,-1.961500
300,-3.146356,0.962809,-3.029340
301,2.287491,0.961130,2.198576
302,8.558356,0.959414,8.211008
303,5.323334,0.957662,5.097957
304,3.065437,0.955874,2.930173
305,-7.154890,0.954050,-6.826124
306,-6.786993,0.952190,-6.462506
307,-4.361825,0.950294,-4.145015
308,-0.552270,0.948362,-0.523752
309,-5.925840,0.946394,-5.608178
310,6.799306,0.944390,6.421196
311,8.230909,0.942350,7.756401
312,6.962914,0.940275,6.547057
313,0.240604,0.938165,0.225726
314,0.082706,0.936019,0.077414
315,-5.004113,0.933837,-4.673027
316,-0.677965,0.931620,-0.631606
317,-5.665584,0.929368,-5.265415
318,0.496985,0.927081,0.460746
319,2.435289,0.924759,2.252057
320,4.634068,0.922402,4.274475
321,0.001137,0.920010,0.001046
322,3.383397,0.917584,3.104550
323,4.232491,0.915122,3.873246
324,-0.766241,0.912626,-0.699292
325,2.014198,0.910096,1.833113
326,4.480522,0.907531,4.066212
327,-2.765348,0.904932,-2.502451
328,3.260936,0.902298,2.942337
329,4.447675,0.899631,4.001266
330,6.719014,0.896929,6.026481
331,5.769980,0.894194,5.159482
332,6.678648,0.891425,5.953512
333,7.273973,0.888622,6.463811
334,-0.823959,0.885785,-0.729851
335,9.134768,0.882915,8.065228
336,-2.743188,0.880012,-2.414039
337,0.848878,0.877076,0.744530
338,-2.263878,0.874106,-1.978869
339,-0.074055,0.871103,-0.064509
340,-1.559385,0.868067,-1.353651
341,1.909662,0.864999,1.651855
342,0.378992,0.861898,0.326652
343,5.346911,0.858764,4.591734
344,0.537662,0.855598,0.460022
345,-0.928658,0.852399,-0.791587
346,-0.918519,0.849168,-0.779977
347,-1.061550,0.845905,-0.897971
348,-5.469563,0.842611,-4.608712
349,2.149548,0.839284,1.804081
350,3.105421,0.835925,2.595900
351,2.148639,0.832535,1.788818
352,-1.300650,0.829114,-1.078387
353,-7.660336,0.825661,-6.324841
354,-1.185263,0.822177,-0.974496
355,-8.840228,0.818662,-7.237158
356,-4.451497,0.815116,-3.628486
357,-4.984592,0.811539,-4.045191
358,-3.447088,0.807931,-2.785011
359,1.605609,0.804293,1.291381
360,-5.698647,0.800625,-4.562479
361,2.651488,0.796926,2.113040
362,-3.193875,0.793197,-2.533373
363,0.836944,0.789438,0.660716
364,-3.296245,0.785650,-2.589694
365,-7.607767,0.781831,-5.947991
366,-0.570008,0.777984,-0.443457
367,-7.576271,0.774106,-5.864839
368,-2.688756,0.770200,-2.070879
369,-4.752975,0.766264,-3.642033
370,1.915261,0.762299,1.460002
371,-4.360763,0.758306,-3.306792
372,-4.923891,0.754284,-3.714010
373,-1.187329,0.750233,-0.890773
374,-1.047745,0.746154,-0.781779
375,-2.222787,0.742047,-1.649412
376,-1.194065,0.737912,-0.881114
377,-5.069925,0.733748,-3.720049
378,-3.551072,0.729558,-2.590711
379,-1.099444,0.725339,-0.797470
380,7.795063,0.721093,5.620966
381,3.460125,0.716820,2.480287
382,-1.983389,0.712520,-1.413204
383,-0.091989,0.708193,-0.065146
384,-6.037800,0.703839,-4.249638
385,-4.681911,0.699458,-3.274801
386,-0.694112,0.695051,-0.482444
387,-2.190585,0.690618,-1.512857
388,1.036870,0.686159,0.711457
389,0.985328,0.681674,0.671672
390,5.796458,0.677162,3.925144
391,4.785722,0.672626,3.219000
392,6.573812,0.668064,4.391726
393,3.234242,0.663477,2.145844
394,0.224496,0.658864,0.147912
395,-1.537003,0.654227,-1.005549
396,-1.828036,0.649565,-1.187428
397,2.538560,0.644878,1.637062
398,0.951562,0.640167,0.609159
399,-0.480068,0.635432,-0.305051
400,-0.671778,0.630673,-0.423672
401,5.206335,0.625890,3.258594
402,8.483861,0.621083,5.269186
403,4.772354,0.616253,2.940979
404,8.859886,0.611400,5.416934
405,5.966114,0.606523,3.618588
406,-0.372189,0.601624,-0.223918
407,0.989765,0.596702,0.590595
408,1.084956,0.591757,0.642031
409,5.784004,0.586790,3.393996
410,4.250786,0.581801,2.473110
411,1.370416,0.576789,0.790441
412,0.666606,0.571756,0.381136
413,3.319032,0.566702,1.880901
414,5.589387,0.561626,3.139143
415,1.617938,0.556528,0.900428
416,0.826913,0.551410,0.455968
417,0.137115,0.546271,0.074902
418,-5.656032,0.541111,-3.060540
419,-0.123802,0.535931,-0.066349
420,1.112501,0.530730,0.590438
421,0.623054,0.525509,0.327421
422,-0.226742,0.520269,-0.117967
423,1.906309,0.515009,0.981766
424,0.203423,0.509729,0.103691
425,-2.190384,0.504430,-1.104896
426,-0.248122,0.499112,-0.123841
427,-3.607685,0.493775,-1.781386
428,-0.238738,0.488420,-0.116604
429,-1.300801,0.483046,-0.628347
430,-2.393184,0.477654,-1.143114
431,-0.992811,0.472244,-0.468848
432,-5.027239,0.466816,-2.346793
433,1.242135,0.461370,0.573083
434,-2.678101,0.455907,-1.220964
435,-2.705643,0.450426,-1.218692
436,-5.539038,0.444929,-2.464478
437,-2.296973,0.439415,-1.009323
438,-0.253062,0.433884,-0.109800
439,-4.130560,0.428336,-1.769269
440,-2.982899,0.422773,-1.261089
441,-5.656628,0.417194,-2.359909
442,1.079952,0.411598,0.444507
443,-0.608211,0.405988,-0.246926
444,-4.806777,0.400361,-1.924448
445,-3.136464,0.394720,-1.238026
446,-5.265840,0.389064,-2.048749
447,-2.178092,0.383393,-0.835066
448,-6.396543,0.377708,-2.416025
449,-0.598220,0.372008,-0.222543
450,3.237203,0.366295,1.185770
451,-3.107245,0.360567,-1.120370
452,5.128181,0.354826,1.819612
453,-2.847618,0.349071,-0.994022
454,-0.353514,0.343304,-0.121363
455,-0.740277,0.337523,-0.249860
456,-6.177663,0.331729,-2.049312
457,-1.162632,0.325923,-0.378929
458,0.722445,0.320105,0.231258
459,-1.672196,0.314274,-0.525528
460,0.395871,0.308432,0.122099
461,1.585465,0.302578,0.479727
462,5.249657,0.296713,1.557640
463,-0.111939,0.290836,-0.032556
464,1.572345,0.284948,0.448037
465,0.373396,0.279050,0.104196
466,3.114636,0.273141,0.850735
467,-0.617034,0.267222,-0.164885
468,0.199713,0.261292,0.052184
469,3.121973,0.255353,0.797206
470,0.339900,0.249404,0.084773
471,3.051997,0.243446,0.742996
472,0.890471,0.237478,0.211468
473,4.861010,0.231502,1.125333
474,4.834527,0.225517,1.090267
475,3.467167,0.219523,0.761123
476,2.106562,0.213521,0.449795
477,6.413886,0.207511,1.330950
478,0.033102,0.201493,0.006670
479,4.814997,0.195467,0.941173
480,2.899376,0.189434,0.549241
481,9.973558,0.183394,1.829090
482,3.372521,0.177347,0.598106
483,6.196504,0.171293,1.061418
484,4.903815,0.165233,0.810271
485,-1.580735,0.159166,-0.251600
486,6.149697,0.153094,0.941480
487,1.133971,0.147015,0.166711
488,5.942948,0.140932,0.837549
489,1.972378,0.134842,0.265960
490,-0.996191,0.128748,-0.128258
491,4.385611,0.122649,0.537891
492,1.398862,0.116545,0.163031
493,0.090077,0.110437,0.009948
494,3.794554,0.104325,0.395865
495,2.455492,0.098208,0.241150
496,-3.028744,0.092088,-0.278912
497,-0.732011,0.085965,-0.062927
498,3.800596,0.079838,0.303432
499,3.021493,0.073708,0.222709
500,0.576977,0.067576,0.038990
501,0.655985,0.061441,0.040304
502,-1.179364,0.055303,-0.065222
503,-3.225428,0.049164,-0.158573
504,-2.692805,0.043022,-0.115850
505,-0.714887,0.036879,-0.026364
506,-1.376235,0.030735,-0.042298
507,-1.674584,0.024589,-0.041177
508,-0.353827,0.018443,-0.006526
509,-3.679597,0.012295,-0.045242
510,-0.755017,0.006148,-0.004642
511,-5.570434,-0.000000,0.000000
