i,refi,refq
245,0.814240,0.580529
246,-0.618456,0.785819
247,-0.755634,-0.654994
248,0.690061,-0.723751
249,0.690243,0.723577
250,-0.755469,0.655185
251,-0.618654,-0.785663
252,0.814093,-0.580734
253,0.541510,0.840694
254,-0.865407,0.501069
255,-0.459503,-0.888176
256,0.908950,-0.416905
257,0.373370,0.927682
258,-0.944331,0.328997
259,-0.283884,-0.958859
260,0.971232,-0.238134
261,0.191849,0.981424
262,-0.989412,0.145133
263,-0.098092,-0.995177
264,0.998707,-0.050829
265,0.003453,0.999994
266,-0.999035,-0.043931
267,0.091216,-0.995831
268,0.990391,0.138297
269,-0.185067,0.982726
270,-0.972854,-0.231421
271,0.277255,-0.960796
272,0.946581,0.322467
273,-0.366954,0.930239
274,-0.911808,-0.410617
275,0.453358,-0.891328
276,0.868847,0.495081
277,-0.535691,0.844414
278,-0.818084,-0.575098
279,0.613214,-0.789917
280,0.759976,0.649952
281,-0.685230,0.728327
282,-0.695043,-0.718969
283,0.751093,-0.660197
284,0.623868,0.781529
285,-0.810211,0.586138
286,-0.547092,-0.837073
287,0.862054,-0.506817
288,0.465403,0.885099
289,-0.906156,0.422944
290,-0.379535,-0.925178
291,0.942121,-0.335273
292,0.290258,0.956948
293,-0.969626,0.244591
294,-0.198375,-0.980126
295,0.988424,-0.151714
296,0.104711,0.994503
297,-0.998347,0.057474
298,-0.010107,-0.999949
299,0.999305,0.037283
300,-0.084588,0.996416
301,-0.991289,-0.131704
302,0.178524,-0.983936
303,0.974372,0.224943
304,-0.270856,0.962620
305,-0.948705,-0.316161
306,0.360757,-0.932660
307,0.914520,0.404541
308,-0.447417,0.894325
309,-0.872122,-0.489288
310,0.530061,-0.847960
311,0.821893,0.569642
312,-0.607944,0.793980
313,-0.764284,-0.644880
314,0.680368,-0.732870
315,0.699811,0.714328
316,-0.746683,0.665180
317,-0.629031,-0.777380
318,0.806329,-0.591467
319,0.552573,0.833464
320,-0.858725,0.512437
321,-0.471147,-0.882055
322,0.903400,-0.428798
323,0.385485,0.922714
324,-0.939953,0.341305
325,-0.296357,-0.955077
326,0.968054,-0.250742
327,0.204564,0.978853
328,-0.987451,0.157926
329,-0.110932,-0.993828
330,0.997970,-0.063689
331,0.016303,0.999867
332,-0.999516,-0.031120
333,0.078473,-0.996916
