i,psavg
323,1622044.250000
324,1636644.750000
325,1555495.500000
326,1387917.250000
327,1421867.875000
328,1406181.500000
329,1937530.125000
330,1668500.375000
331,1411713.625000
332,1665858.375000
333,1570002.500000
334,1728938.000000
335,1792891.375000
336,1374738.875000
337,1335703.875000
338,1444132.000000
339,1374016.375000
340,1298344.000000
341,1536674.375000
342,1687646.500000
343,1609216.750000
344,1658026.250000
345,1756980.000000
346,1720197.000000
347,1453812.125000
348,1446711.250000
349,1388271.000000
350,1582710.375000
351,1540404.875000
352,1628053.625000
353,1884863.875000
354,1704460.500000
355,1549734.375000
356,1556307.250000
357,1599148.500000
358,1879510.000000
359,1908415.125000
360,1625401.875000
361,1832232.125000
362,1902664.875000
363,1614831.625000
364,1508623.000000
365,1575503.375000
366,1740276.625000
367,1469718.375000
368,1465881.250000
369,2074644.250000
370,1714857.375000
371,1358999.125000
372,1289478.250000
373,1336027.750000
374,1141908.875000
375,1270713.625000
376,1335212.750000
377,1430708.625000
378,1498541.875000
379,1759457.125000
380,1951026.875000
381,1680325.250000
382,1544802.750000
383,1493797.500000
384,1678948.500000
385,1225251.250000
386,1053780.750000
387,1436750.625000
388,1785134.375000
389,1620030.750000
390,1682952.000000
391,1660931.750000
392,1790821.125000
393,1544861.000000
394,1300281.625000
395,1555366.125000
396,1503859.750000
397,1441581.875000
398,1507824.875000
399,1452886.250000
400,1421742.250000
401,1484003.875000
402,1764020.125000
403,1621673.875000
404,1614451.250000
405,1588794.625000
406,1354887.625000
407,1563025.750000
408,1671201.500000
409,1533311.000000
410,1441212.500000
411,1553747.375000
412,1437264.750000
413,1724982.000000
414,1358941.875000
415,1657683.500000
416,1473050.250000
417,1424573.000000
418,1664575.000000
419,1772082.250000
420,1706815.750000
421,1354350.500000
422,1435375.750000
423,1678455.875000
424,1611068.500000
425,1695674.500000
426,1870486.750000
427,1602603.375000
428,1557380.125000
429,1617216.125000
430,1525994.750000
431,1758608.500000
432,1720309.875000
433,1624044.875000
434,1563642.375000
435,1587394.625000
436,1528192.625000
437,1639584.125000
438,1535945.375000
439,1721772.125000
440,1455078.625000
441,1400698.500000
442,1325672.500000
443,1643792.250000
444,1744166.125000
445,1503294.625000
446,1428880.000000
447,1659997.625000
448,1665965.500000
449,1427710.625000
450,1638558.375000
451,1449385.500000
452,1534603.875000
453,1665229.750000
454,1291863.250000
455,1429269.250000
456,1822125.875000
457,1866138.375000
458,1588564.625000
459,1516481.750000
460,1551866.500000
461,1382499.250000
462,1271704.750000
463,1369350.375000
464,1454465.250000
465,1504044.250000
466,1541488.000000
467,1908015.500000
468,2542478.500000
469,24238670.000000
470,8078233.000000
471,1855163.750000
472,1599010.125000
473,1791991.625000
474,1560811.875000
475,1745571.000000
476,1848580.500000
477,1852035.375000
478,1907141.750000
479,1768691.875000
480,1623634.625000
481,1489199.875000
482,2336984.500000
483,1646240.500000
484,1563311.250000
485,1593720.750000
486,1611985.875000
487,1608729.625000
488,1622390.500000
489,1809940.500000
490,1394070.125000
491,1229227.500000
492,1402925.375000
493,1546994.875000
494,1354319.125000
495,1484672.625000
496,1559903.250000
497,1749396.250000
498,1707233.375000
499,1587501.375000
500,1661316.000000
501,1639055.125000
502,1417309.625000
503,1470529.375000
504,1492013.375000
505,1987310.250000
506,2110583.750000
507,1643433.625000
508,1660731.250000
509,1623226.000000
510,1835132.750000
511,1885273.000000
