i,psavg
0,1589318.875000
1,1580820.125000
2,1717029.875000
3,1651124.250000
4,1711968.875000
5,1707999.375000
6,1958619.375000
7,1817498.625000
8,1587269.000000
9,1714249.750000
10,1780660.375000
11,1612751.125000
12,1653211.375000
13,1614996.375000
14,1414822.000000
15,1420210.250000
16,1509293.875000
17,1821838.250000
18,1914874.250000
19,1680453.875000
20,1703338.250000
21,1705110.125000
22,1823105.250000
23,2009906.250000
24,1827645.625000
25,1951430.875000
26,2049739.375000
27,1779746.875000
28,1725528.750000
29,1907701.500000
30,1606135.750000
31,1579598.500000
32,1591941.125000
33,1702654.250000
34,1854220.875000
35,1695049.625000
36,1759292.750000
37,2176862.250000
38,2007984.250000
39,1730955.375000
40,1759393.875000
41,1417811.625000
42,1438421.750000
43,1685460.750000
44,1857804.000000
45,1459170.125000
46,1490660.750000
47,1486657.250000
48,1686185.125000
49,1638523.875000
50,1695491.125000
51,1731210.125000
52,1540740.375000
53,1706310.625000
54,1548136.750000
55,1446650.250000
56,1560958.250000
57,1553602.250000
58,1600707.500000
59,1620399.250000
60,1662173.875000
61,1585812.875000
62,1590811.375000
63,1680689.750000
64,1656033.125000
65,1415102.000000
66,1977885.000000
67,2209345.000000
68,1544293.875000
69,1711037.625000
70,1781507.375000
71,1880337.375000
72,1793644.250000
73,1530948.000000
74,1637500.625000
75,1824527.000000
76,1707507.500000
77,1649311.625000
78,1950630.375000
79,2353388.750000
80,1997959.625000
81,1656165.750000
82,1616444.875000
83,1976076.125000
84,1629752.000000
85,1498544.875000
86,1351088.625000
87,1493256.500000
88,1758201.875000
89,1960810.000000
90,2029431.500000
91,1664436.250000
92,1737315.375000
93,2017434.375000
94,1609917.375000
95,1585284.750000
96,1603297.125000
97,1731361.375000
98,1526498.000000
99,1649185.125000
100,1883258.250000
101,1586787.625000
102,1503232.000000
103,1426272.250000
104,1595084.875000
105,1578868.750000
106,1487085.125000
107,1474273.000000
108,1592666.500000
109,1633063.250000
110,1601902.000000
111,1633317.750000
112,1883621.125000
113,1653793.250000
114,1341371.875000
115,1537256.500000
116,1786105.625000
117,1905894.000000
118,2278176.750000
119,1984989.375000
120,1775063.125000
121,1849046.500000
122,1921444.250000
123,1889981.625000
124,1872670.625000
125,1745774.625000
126,1866370.375000
127,2163592.500000
128,2079319.500000
129,1800781.625000
130,1557518.250000
131,1652736.625000
132,1357848.375000
133,1752399.375000
134,1596778.250000
135,1662758.875000
136,1719804.625000
137,1657596.125000
138,1593563.500000
139,1832114.625000
140,2018054.250000
141,1795690.625000
142,1682045.500000
143,1585751.625000
144,1499202.625000
145,1904406.125000
146,1854265.250000
147,1756042.625000
148,1586166.750000
149,1658068.500000
150,1890018.750000
151,1886758.250000
152,2110313.500000
153,1613013.625000
154,1782828.250000
155,1747115.000000
156,1392718.500000
157,1509349.000000
158,1722085.375000
159,1843125.000000
160,1790495.375000
161,1747203.625000
162,1650687.875000
163,1535221.250000
164,1451772.750000
165,1489691.875000
166,1753215.500000
167,1854385.625000
168,1415278.625000
169,1389040.750000
170,1479930.000000
171,1457685.750000
172,1621348.875000
173,1671817.250000
174,1807609.625000
175,1830171.875000
176,1374228.375000
177,1330666.000000
178,1453027.875000
179,1759852.125000
180,1537251.625000
181,1343606.750000
182,1626272.500000
183,1636427.375000
184,1675037.625000
185,3988652.750000
186,5728700.000000
187,3715788.000000
188,2402162.000000
189,1977029.500000
190,2108070.750000
191,2450222.750000
192,2420128.000000
193,2659604.000000
194,2173559.750000
195,1961202.375000
196,2189026.500000
197,1936595.125000
198,1657397.125000
199,1360068.875000
200,1090126.375000
201,943243.250000
202,1106527.500000
203,1514837.875000
204,6575399.000000
205,6451055.000000
206,3976709.000000
207,3656090.250000
208,3835966.750000
209,4456138.500000
210,4432685.000000
211,3641510.750000
212,3344415.750000
213,2112661.500000
214,1929168.125000
215,1834518.250000
216,1497725.625000
217,1841947.750000
218,2016352.750000
219,1710306.625000
220,1831634.375000
221,1699703.000000
222,1639929.750000
223,1594858.875000
224,1545324.375000
225,1656305.500000
226,1792935.750000
227,1760896.125000
228,1955422.125000
229,1960452.500000
230,1843354.625000
231,1675277.125000
232,1598561.625000
233,1760742.625000
234,1988402.250000
235,1945850.375000
236,2026063.500000
237,2232124.000000
238,2568434.500000
239,2279630.750000
240,2364125.500000
241,2473895.250000
242,2766912.500000
243,2986967.750000
244,2812728.500000
245,2363156.500000
246,1994132.000000
247,1840005.375000
248,2103075.250000
249,2251276.750000
250,2648991.000000
251,11980207.000000
252,15392950.000000
253,11674925.000000
254,15121385.000000
255,22432564.000000
256,48278084.000000
257,271124864.000000
258,165016208.000000
259,72250896.000000
260,86542160.000000
261,75891072.000000
262,67838568.000000
263,42177592.000000
264,16714239.000000
265,7321530.000000
266,4090936.000000
267,2778126.000000
268,2614149.500000
269,2188216.750000
270,2256934.750000
271,1724221.875000
272,2091922.000000
273,1783083.000000
274,1813879.125000
275,1527725.500000
276,1370640.125000
277,1260719.125000
278,1262201.125000
279,1085475.500000
280,981231.125000
281,936890.437500
282,991994.312500
283,1505830.500000
284,2409723.250000
285,2458034.750000
286,1576349.125000
287,1815698.000000
288,2151342.250000
289,2135579.750000
290,1895852.500000
291,2220644.250000
292,1872445.000000
293,2041907.500000
294,2115005.250000
295,1629767.000000
296,1555104.625000
297,1399958.250000
298,1368463.000000
299,1629755.125000
300,1592821.875000
301,1692295.000000
302,1667097.000000
303,1890876.625000
304,2014311.625000
305,1643908.750000
306,1722293.375000
307,1751030.750000
308,1615986.750000
309,1595098.625000
310,1558269.000000
311,1906117.875000
312,2021218.000000
313,1670022.125000
314,1735925.875000
315,1774886.250000
316,1664897.125000
317,1437372.625000
318,1596083.750000
319,1669524.125000
320,1693161.125000
321,1563614.750000
322,1512120.250000
